Ascii Data Listing

Data listed on 10/24/23 17:30:26
file F:/PolyU/STM/SnTe/19 Oct 2023/Sb_SnTe_HOPG_PtIr_LT_2023_10_24_11_22_10_281.sm4, 10/24/23 11:13:31

Data Listing of Primary axis

 Plot Number: 1

	LIA Current, Bias 0.500 V, Setpoint 100.000 pA
	; ; 

8 lines of 1001 points, x units V y units A
LIA Current
Raw Data

DATA TABLE 3
	                	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       	Amplitude       
	1x V            	1y3 A           	1y4 A           	1y5 A           	1y6 A           	1y7 A           	1y8 A           
	X_pixel         	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   	3.0679689e-07   
	Y_pixel         	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   	4.9123798e-07   
	+5.0000000e-01  	+1.0400815e-11  	+6.5713793e-12  	+1.2454702e-11  	+9.5802732e-12  	+1.0787770e-11  	+3.7644150e-12  
	+4.9900001e-01  	+1.0156501e-11  	+7.5525601e-12  	+1.1832644e-11  	+9.8281773e-12  	+1.0172925e-11  	+3.8686766e-12  
	+4.9800000e-01  	+1.1104368e-11  	+7.3278978e-12  	+1.4014123e-11  	+7.7232066e-12  	+9.5551744e-12  	+4.4831821e-12  
	+4.9700001e-01  	+1.0494259e-11  	+6.6344625e-12  	+1.2716795e-11  	+8.2930269e-12  	+1.4541522e-11  	+6.1217138e-12  
	+4.9599999e-01  	+1.0544295e-11  	+6.4312527e-12  	+1.2207306e-11  	+9.1422538e-12  	+1.3344358e-11  	+5.1688402e-12  
	+4.9500000e-01  	+1.0858522e-11  	+7.2797298e-12  	+1.3490663e-11  	+8.7448911e-12  	+1.2727659e-11  	+4.8437296e-12  
	+4.9399999e-01  	+1.0752604e-11  	+7.0574367e-12  	+1.3080532e-11  	+8.2091148e-12  	+1.0347711e-11  	+4.8279388e-12  
	+4.9300000e-01  	+1.0310234e-11  	+7.7485527e-12  	+1.3604229e-11  	+8.2597930e-12  	+1.2143352e-11  	+5.0504366e-12  
	+4.9200001e-01  	+1.0146513e-11  	+7.7684968e-12  	+1.2894571e-11  	+9.7753663e-12  	+1.1272481e-11  	+5.7038480e-12  
	+4.9100000e-01  	+1.0805423e-11  	+8.2858000e-12  	+1.4625006e-11  	+1.0695741e-11  	+1.1619729e-11  	+4.9982032e-12  
	+4.9000001e-01  	+1.0225536e-11  	+8.2757976e-12  	+1.2974879e-11  	+1.0740762e-11  	+1.0678251e-11  	+5.4264115e-12  
	+4.8899999e-01  	+1.1209124e-11  	+8.1649418e-12  	+1.4341981e-11  	+7.3764241e-12  	+1.0824939e-11  	+3.8521456e-12  
	+4.8800001e-01  	+1.0599489e-11  	+7.2351842e-12  	+1.2561357e-11  	+7.0070755e-12  	+1.2883241e-11  	+5.0515590e-12  
	+4.8699999e-01  	+1.0055127e-11  	+8.2802914e-12  	+1.2906357e-11  	+6.5915051e-12  	+1.2580328e-11  	+6.1446009e-12  
	+4.8600000e-01  	+1.1412483e-11  	+7.4183151e-12  	+1.4507081e-11  	+7.7874356e-12  	+1.1491640e-11  	+5.8758632e-12  
	+4.8500001e-01  	+1.0630749e-11  	+7.9843918e-12  	+1.6061598e-11  	+8.0027573e-12  	+9.8655606e-12  	+5.1233219e-12  
	+4.8400000e-01  	+1.1411719e-11  	+8.0570715e-12  	+1.5559177e-11  	+6.6381787e-12  	+8.9909460e-12  	+4.2241484e-12  
	+4.8300001e-01  	+1.0638223e-11  	+7.6912114e-12  	+1.5572411e-11  	+7.5017752e-12  	+1.3312697e-11  	+5.6835123e-12  
	+4.8199999e-01  	+1.0864054e-11  	+8.1362850e-12  	+1.5768404e-11  	+7.2234497e-12  	+1.4013084e-11  	+3.8405555e-12  
	+4.8100001e-01  	+1.0988922e-11  	+8.3441847e-12  	+1.7900313e-11  	+8.5392457e-12  	+1.5539131e-11  	+5.8777119e-12  
	+4.7999999e-01  	+1.0581761e-11  	+7.7945688e-12  	+1.4081611e-11  	+1.3454603e-11  	+1.7844741e-11  	+5.9857870e-12  
	+4.7900000e-01  	+1.1245548e-11  	+8.1864697e-12  	+1.6471380e-11  	+1.1961064e-11  	+1.5136534e-11  	+7.0942284e-12  
	+4.7799999e-01  	+1.0682237e-11  	+7.7608787e-12  	+1.6041370e-11  	+1.2468318e-11  	+1.7270045e-11  	+5.9219123e-12  
	+4.7700000e-01  	+1.0773637e-11  	+7.2938018e-12  	+1.4434969e-11  	+1.1809352e-11  	+1.5807529e-11  	+5.2270198e-12  
	+4.7600001e-01  	+1.1089225e-11  	+7.8915008e-12  	+1.7536502e-11  	+1.0404279e-11  	+1.2393240e-11  	+3.9169609e-12  
	+4.7499999e-01  	+1.1117025e-11  	+6.8220681e-12  	+1.6212379e-11  	+1.2670690e-11  	+1.4688648e-11  	+4.8219133e-12  
	+4.7400001e-01  	+1.1267583e-11  	+8.1028647e-12  	+1.6091121e-11  	+1.2415103e-11  	+1.4357762e-11  	+3.2167556e-12  
	+4.7299999e-01  	+1.0539717e-11  	+8.5771832e-12  	+1.5972499e-11  	+1.3318984e-11  	+1.5903534e-11  	+4.2367494e-12  
	+4.7200000e-01  	+1.0624663e-11  	+7.1730044e-12  	+1.5711333e-11  	+1.1687153e-11  	+1.7346027e-11  	+3.2019847e-12  
	+4.7099999e-01  	+1.0940535e-11  	+7.3286004e-12  	+1.5613585e-11  	+1.0050181e-11  	+1.7314865e-11  	+3.0614435e-12  
	+4.7000000e-01  	+1.0219794e-11  	+7.7045896e-12  	+1.4166846e-11  	+1.0057022e-11  	+1.6389876e-11  	+3.1277071e-12  
	+4.6900001e-01  	+1.0381956e-11  	+6.2899568e-12  	+1.5796852e-11  	+9.4945215e-12  	+1.7823637e-11  	+3.3588520e-12  
	+4.6799999e-01  	+1.1355132e-11  	+7.0178134e-12  	+1.7828671e-11  	+1.0601063e-11  	+1.6759955e-11  	+3.4402218e-12  
	+4.6700001e-01  	+1.1017397e-11  	+7.9731785e-12  	+1.7871638e-11  	+1.1680438e-11  	+1.7055092e-11  	+4.1898013e-12  
	+4.6599999e-01  	+1.0811659e-11  	+6.2663108e-12  	+1.7758463e-11  	+1.0331771e-11  	+1.3455809e-11  	+3.0003721e-12  
